,title,summary,press,wdate,link
20,서학개미도 '트럼프 트레이드'…코인 기업·ETF 담았다[서학망원경],미국 대선이 다가오자 미국 증시에 투자하는 '서학개미' 사이에서도 '트럼프 트레이드'가 나타나고 있다. 서학개미들은 가상자산 관련 종목..,뉴스1,2024-11-02 10:00:00,https://n.news.naver.com/mnews/article/421/0007883209
21,애플 위성통신 기업에 2조 투자 …이미지 편집 툴 '픽셀메이트' 인수,애플이 위성통신 기업에 2조원을 투자하고 이미지 편집 앱 개발업체를 인수하는 등 자체 서비스 강화에 나섰다. 1일(현지시간) 미국의 위..,아시아경제,2024-11-02 09:54:41,https://n.news.naver.com/mnews/article/277/0005493985
22,고용 충격에도 아마존 호실적에 반등…나스닥 0.8%↑[뉴욕증시],뉴욕증시가 전날 급락세를 딛고 반등에 성공했다. 미국 10월 고용 지표는 부진했지만 아마존의 호실적 등이 반등을 이끌었다. 1일(현지시..,아시아경제,2024-11-02 09:26:16,https://n.news.naver.com/mnews/article/277/0005493983
23,"'투심 최악' 삼성전자에 증권가 ""추가 하락하기도 힘들어""",삼성전자가 주가 부진을 벗어나지 못하고 있다. 증권가에서는 일각에서 나오는 삼성전자의 기술 경쟁력 회복 의구심에도 불구하고 추가 하락은..,아시아경제,2024-11-02 09:06:44,https://n.news.naver.com/mnews/article/277/0005493980
24,금융주 밸류업 발표에 목표가 상향 이어져[청기홍기],이번주 밸류업 방안을 발표한 하나금융지주와 BNK금융지주 목표주가가 올랐다. 증권가에선 두 회사의 자본정책에 대해 호평을 이어갔다. 반..,비즈워치,2024-11-02 09:00:14,https://n.news.naver.com/mnews/article/648/0000030309
25,"""국장 어쩌나"" 예탁금 연중 최저…해외투자는 역대 최대",증시의 대기자금으로 통하는 투자자 예탁금이 연중 최저 수준으로 떨어진 가운데 해외 투자금은 '역대 최대' 수준을 기록한 것으로 나타났다..,뉴시스,2024-11-02 09:00:00,https://n.news.naver.com/mnews/article/003/0012880294
26,"""고려아연 때문에""…금감원, 주관사 위법 행위 현장 검사",고려아연 경영권 분쟁에 관여한 미래에셋증권이 증권사한테도 엄정 책임을 묻겠다는 금융감독원 경고에 좌불안석 분위기다. 조사 결과에 따라 ..,뉴시스,2024-11-02 09:00:00,https://n.news.naver.com/mnews/article/003/0012880293
27,변동성이 커질수록 ‘충동거래’ 유혹 떨쳐내라[마켓엑세스],"올해 상반기의 비교적 안정적이었던 시장 분위기와 달리 3분기 글로벌 증시는 극심한 변동성을 보였다. 특히 8월 초, 연방준비제도(Fed..",이데일리,2024-11-02 08:34:16,https://n.news.naver.com/mnews/article/018/0005875119
28,"10월 마지막 주, 마켓PRO 핫종목·주요 이슈 5분 완벽정리 [위클리 리뷰]",※한경 마켓PRO는 한 주간 짚어본 종목·투자 전략을 돌아보는 '마켓PRO 위클리 리뷰' 코너를 운영 중입니다. 한경 마켓PRO는 어디..,한국경제,2024-11-02 08:31:14,https://n.news.naver.com/mnews/article/015/0005052173
29,“트럼프든 해리스든 수혜”…美방산주↑[ETF언박싱],미국 대선이 임박했지만 민주당 대선 후보인 카멀라 해리스 부통령과 공화당 대선 후보인 도널드 트럼프 전 대통령의 초박빙 대결이 이어지며..,이데일리,2024-11-02 08:30:13,https://n.news.naver.com/mnews/article/018/0005875115
30,"밸류업 ""효과 없네""...'박스피'에 자금 이탈",올해 들어 정부가 밸류업(기업가치 제고) 정책을 의욕적으로 추진해왔는데도 증시 대기성 자금은 시장을 빠져나가는 것으로 나타났다. 2일 ..,한국경제TV,2024-11-02 08:15:52,https://n.news.naver.com/mnews/article/215/0001186225
31,트럼프 당선되면 얼마나 오를까…타오르는 비트코인 [투자의 재발견],"※ 한국경제TV는 급변하는 투자환경 속 신뢰할 수 있는 정보와 인사이트가 가득한 고품격 투자 콘텐츠, 을 매주 금요일 오후 5시 방송합..",한국경제TV,2024-11-02 08:03:14,https://n.news.naver.com/mnews/article/215/0001186224
32,승부수인가 자충수인가…고려아연 유증사태 점입가경[증시핫피플],“유상증자의 추진 경위 등을 살펴보고 위법행위가 확인되면 엄중히 책임을 묻겠다.”(함용일 금융감독원 부원장) 최윤범 고려아연(01013..,이데일리,2024-11-02 08:01:24,https://n.news.naver.com/mnews/article/018/0005875108
33,"로제 '아파트' 효과에 반짝 엔터주?…""내년이 더 희망적""","로제 신곡 '아파트'(APT.) 열풍에 K-팝이 주목받으며 엔터테인먼트사들의 주가도 들썩이고 있다. 증권가에서는 내년 BTS, 블랙핑크..",뉴스1,2024-11-02 08:00:00,https://n.news.naver.com/mnews/article/421/0007883153
34,"몰락한 인텔, 다우지수서 빠졌다…엔비디아가 대체(종합)",인공지능(AI)칩 최강자 엔비디아가 초우량 대기업 30개만 모아놓은 다우존스 30산업평균지수에 편입됐다. 한때 중앙처리장치(CPU) 최..,이데일리,2024-11-02 07:34:12,https://n.news.naver.com/mnews/article/018/0005875096
35,‘실적 부진’ 스타벅스…펀더멘탈 변화에 쏠리는 관심,미국 커피 체인점 스타벅스가 최근 부진한 실적 발표에도 비교적 탄탄한 주가 흐름을 이어오고 있다. 이는 시장의 관심이 실적 부진이 아니..,이데일리,2024-11-02 07:31:15,https://n.news.naver.com/mnews/article/018/0005875095
36,美 대선 'D-3'...한국 증시 향방은?,미국 대통령 선거가 다가오는 가운데 후보간 접전이 펼쳐지면서 국내 증시에 미칠 영향에도 관심이 쏠린다. 공화당 후보인 도널드 트럼프 전..,한국경제TV,2024-11-02 07:28:01,https://n.news.naver.com/mnews/article/215/0001186222
